,precision,recall,f1-score,support
Normal,0.9369369369369369,0.9570552147239264,0.9468892261001517,326.0
Suspect,0.7627118644067796,0.6617647058823529,0.7086614173228346,68.0
Pathological,0.8823529411764706,0.9375,0.9090909090909091,32.0
