,precision,recall,f1-score,support
Normal,0.9367469879518072,0.9539877300613497,0.9452887537993921,326.0
Suspect,0.75,0.6617647058823529,0.703125,68.0
Pathological,0.8823529411764706,0.9375,0.9090909090909091,32.0
