,precision,recall,f1-score,support
Normal,0.9501466275659824,0.9938650306748467,0.9715142428785607,326.0
Suspect,0.9074074074074074,0.7205882352941176,0.8032786885245902,68.0
Pathological,0.9032258064516129,0.875,0.8888888888888888,32.0
